,Protein Name,Substrate,Subtype,Family,Family Name,Transporter Class,TC number,Entry,Entry Name,Protein names,Gene Symbol,Uniprot ID
250,NP_004861,mannose-P-dolichol utilization defect 2 protein,,LCT,The Lysosomal Cystine Transporter (LCT) Family,Secondary Transporter,2.A.43,O75352,MPU1_HUMAN,Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15),MPDU1,O75352
251,NP_004861,mannose-P-dolichol utilization defect 2 protein,,LCT,The Lysosomal Cystine Transporter (LCT) Family,Secondary Transporter,2.A.43,A0A0S2Z4W8,A0A0S2Z4W8_HUMAN,Mannose-P-dolichol utilization defect 1 isoform 1,MPDU1,A0A0S2Z4W8
252,NP_004928,Cystinosin homolog,,LCT,The Lysosomal Cystine Transporter (LCT) Family,Secondary Transporter,2.A.43,O60931,CTNS_HUMAN,Cystinosin,CTNS,O60931
253,NP_004928,Cystinosin homolog,,LCT,The Lysosomal Cystine Transporter (LCT) Family,Secondary Transporter,2.A.43,A0A0S2Z3K3,A0A0S2Z3K3_HUMAN,Cystinosis nephropathic isoform 2,CTNS,A0A0S2Z3K3
254,NP_001142,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P12235,ADT1_HUMAN,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)",SLC25A4,P12235
255,NP_001142,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A0S2Z3H3,A0A0S2Z3H3_HUMAN,"ADP/ATP translocase (ADP,ATP carrier protein)",SLC25A4,A0A0S2Z3H3
256,NP_001143,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P05141,ADT2_HUMAN,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]",SLC25A5,P05141
257,NP_001143,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6NVC0,Q6NVC0_HUMAN,"ADP/ATP translocase (ADP,ATP carrier protein)",SLC25A5,Q6NVC0
258,NP_000378,carnitine/acylcarnitine,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,O43772,MCAT_HUMAN,Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (Solute carrier family 25 member 20),SLC25A20,O43772
259,NP_004268,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,O95847,UCP4_HUMAN,Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27),SLC25A27,O95847
260,NP_006349,peroxisomal adenine nucleotide,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,O43808,PM34_HUMAN,Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17),SLC25A17,O43808
261,NP_998776,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q00325,MPCP_HUMAN,"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)",SLC25A3,Q00325
262,NP_005879,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q00325,MPCP_HUMAN,"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)",SLC25A3,Q00325
263,NP_002626,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q00325,MPCP_HUMAN,"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)",SLC25A3,Q00325
264,NP_998776,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024RBE8,A0A024RBE8_HUMAN,"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (Solute carrier family 25 member 3)",SLC25A3,A0A024RBE8
265,NP_002626,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024RBE8,A0A024RBE8_HUMAN,"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (Solute carrier family 25 member 3)",SLC25A3,A0A024RBE8
266,NP_998776,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6MZF9,Q6MZF9_HUMAN,Uncharacterized protein DKFZp686J11229,SLC25A3,Q6MZF9
267,NP_005879,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6MZF9,Q6MZF9_HUMAN,Uncharacterized protein DKFZp686J11229,SLC25A3,Q6MZF9
268,NP_002626,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6MZF9,Q6MZF9_HUMAN,Uncharacterized protein DKFZp686J11229,SLC25A3,Q6MZF9
269,NP_005879,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024RBH9,A0A024RBH9_HUMAN,"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (Solute carrier family 25 member 3)",SLC25A3,A0A024RBH9
270,NP_055066,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9UJS0,S2513_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Calcium-binding mitochondrial carrier protein Aralar2) (ARALAR-related gene 2) (ARALAR2) (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)",SLC25A13,Q9UJS0
271,NP_055067,ornithine,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9Y619,ORNT1_HUMAN,Mitochondrial ornithine transporter 1 (Solute carrier family 25 member 15),SLC25A15,Q9Y619
272,NP_057696,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9NYZ2,MFRN1_HUMAN,Mitoferrin-1 (Mitochondrial iron transporter 1) (Mitochondrial solute carrier protein) (Solute carrier family 25 member 37),SLC25A37,Q9NYZ2
273,NP_057696,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q71JB2,Q71JB2_HUMAN,Uncharacterized protein FP15737,SLC25A37,Q71JB2
274,NP_057100,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9BZJ4,S2539_HUMAN,Probable mitochondrial glutathione transporter SLC25A39 (Solute carrier family 25 member 39),SLC25A39,Q9BZJ4
275,NP_001098117,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q96CQ1,S2536_HUMAN,Solute carrier family 25 member 36,SLC25A36,Q96CQ1
276,NP_060625,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q96CQ1,S2536_HUMAN,Solute carrier family 25 member 36,SLC25A36,Q96CQ1
277,NP_060345,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q96DW6,S2538_HUMAN,Mitochondrial glycine transporter (Appoptosin) (Mitochondrial glycine transporter GlyC) (Solute carrier family 25 member 38),SLC25A38,Q96DW6
278,NP_061331,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8TBP6,S2540_HUMAN,Probable mitochondrial glutathione transporter SLC25A40 (Mitochondrial carrier family protein) (Solute carrier family 25 member 40),SLC25A40,Q8TBP6
279,NP_068380,deoxynucleotide,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9HC21,TPC_HUMAN,Mitochondrial thiamine pyrophosphate carrier (Mitochondrial thiamine pyrophosphate transporter) (MTPPT) (Mitochondrial uncoupling protein 1) (Solute carrier family 25 member 19),SLC25A19,Q9HC21
280,NP_068380,deoxynucleotide,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q5JPC1,Q5JPC1_HUMAN,"Solute carrier family 25 (Mitochondrial deoxynucleotide carrier), member 19, isoform CRA_a (Uncharacterized protein DKFZp667O1614) (cDNA FLJ40563 fis, clone THYMU2004169, highly similar to Mitochondrial deoxynucleotide carrier)",SLC25A19,Q5JPC1
281,NP_068605,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P25874,UCP1_HUMAN,Mitochondrial brown fat uncoupling protein 1 (UCP 1) (Solute carrier family 25 member 7) (Thermogenin),UCP1,P25874
282,NP_003346,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P55851,UCP2_HUMAN,Dicarboxylate carrier SLC25A8 (Mitochondrial uncoupling protein 2) (UCP 2) (Solute carrier family 25 member 8) (UCPH),UCP2,P55851
283,NP_003346,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024R5N5,A0A024R5N5_HUMAN,"Uncoupling protein 2 (Mitochondrial, proton carrier), isoform CRA_a",UCP2,A0A024R5N5
284,NP_078974,glutamate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9H936,GHC1_HUMAN,Mitochondrial glutamate carrier 1 (GC-1) (Glutamate/H(+) symporter 1) (Solute carrier family 25 member 22),SLC25A22,Q9H936
285,NP_077008,phosphate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9BV35,SCMC3_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A23 (Mitochondrial ATP-Mg/Pi carrier protein 2) (Short calcium-binding mitochondrial carrier protein 3) (SCaMC-3) (Solute carrier family 25 member 23),SLC25A23,Q9BV35
286,NP_085134,2-oxodicarboxylate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9BQT8,ODC_HUMAN,Mitochondrial 2-oxodicarboxylate carrier (ODC) (Mitochondrial 2-oxoadipate carrier) (Solute carrier family 25 member 21),SLC25A21,Q9BQT8
287,NP_112581,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9H0C2,ADT4_HUMAN,"ADP/ATP translocase 4 (ADP,ATP carrier protein 4) (Adenine nucleotide translocator 4) (ANT 4) (Solute carrier family 25 member 31) (Sperm flagellar energy carrier protein)",SLC25A31,Q9H0C2
288,NP_113669,glutamate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9H1K4,GHC2_HUMAN,Mitochondrial glutamate carrier 2 (GC-2) (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18),SLC25A18,Q9H1K4
289,NP_113669,glutamate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024R0W0,A0A024R0W0_HUMAN,"Solute carrier family 25 (Mitochondrial carrier), member 18, isoform CRA_a",SLC25A18,A0A024R0W0
290,NP_114153,ornithine,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9BXI2,ORNT2_HUMAN,Mitochondrial ornithine transporter 2 (Solute carrier family 25 member 2),SLC25A2,Q9BXI2
291,NP_115691,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9BSK2,S2533_HUMAN,Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1),SLC25A33,Q9BSK2
292,NP_219480,2-oxodicarboxylate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9H1U9,S2551_HUMAN,Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51 (Mitochondrial NAD(+) transporter SLC25A51) (Mitochondrial carrier triple repeat protein 1) (Solute carrier family 25 member 51),SLC25A51,Q9H1U9
293,NP_001029344,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q3SY17,S2552_HUMAN,Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A52 (Mitochondrial NAD(+) transporter SLC25A52) (Mitochondrial carrier triple repeat protein 2) (Solute carrier family 25 member 52),SLC25A52,Q3SY17
294,NP_001029344,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,I3L0B8,I3L0B8_HUMAN,Solute carrier family 25 member 52,SLC25A52,I3L0B8
295,NP_112489,solute,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q96A46,MFRN2_HUMAN,Mitoferrin-2 (Mitochondrial RNA-splicing protein 3/4 homolog) (MRS3/4) (hMRS3/4) (Mitochondrial iron transporter 2) (Solute carrier family 25 member 28),SLC25A28,Q96A46
296,NP_036272,dicarboxylate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9UBX3,DIC_HUMAN,Mitochondrial dicarboxylate carrier (DIC) (Solute carrier family 25 member 10),SLC25A10,Q9UBX3
297,NP_036272,dicarboxylate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A0S2Z382,A0A0S2Z382_HUMAN,Solute carrier family 25 member 10 isoform 2,SLC25A10,A0A0S2Z382
298,NP_110407,folate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9H2D1,MFTC_HUMAN,Mitochondrial folate transporter/carrier (Solute carrier family 25 member 32),SLC25A32,Q9H2D1
299,NP_003696,aspartate/glutamate (Ca2+-activated),,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,O75746,S2512_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Araceli hiperlarga) (Aralar) (Aralar1) (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)",SLC25A12,O75746
300,NP_003553,2-oxoglutarate:malate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q02978,M2OM_HUMAN,Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (alpha-oxoglutarate carrier) (Solute carrier family 25 member 11) (SLC25A11),SLC25A11,Q02978
301,NP_003553,2-oxoglutarate:malate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6IBH0,Q6IBH0_HUMAN,"SLC25A11 protein (Solute carrier family 25 (Mitochondrial carrier oxoglutarate carrier), member 11, isoform CRA_b) (cDNA FLJ76014, highly similar to Homo sapiens solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11 (SLC25A11), mRNA)",SLC25A11,Q6IBH0
302,NP_005975,tricarboxylate,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P53007,TXTP_HUMAN,"Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Mitochondrial citrate carrier) (CIC) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)",SLC25A1,P53007
303,NP_660348,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8WUT9,S2543_HUMAN,Solute carrier family 25 member 43,SLC25A43,Q8WUT9
304,NP_001034444,carnitine/acylcarnitine,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8N8R3,S2529_HUMAN,Mitochondrial basic amino acids transporter (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial carnitine/acylcarnitine carrier protein CACL) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29),SLC25A29,Q8N8R3
305,NP_001010875,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q5SVS4,KMCP1_HUMAN,Kidney mitochondrial carrier protein 1 (Solute carrier family 25 member 30),SLC25A30,Q5SVS4
306,NP_001010875,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,B3KSR0,B3KSR0_HUMAN,"cDNA FLJ36814 fis, clone ASTRO2003316, highly similar to Homo sapiens solute carrier family 25, member 30 (SLC25A30), mRNA",SLC25A30,B3KSR0
307,NP_001010875,uncoupling protein homolog,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,B3KTE8,B3KTE8_HUMAN,"cDNA FLJ38146 fis, clone D9OST2003594, highly similar to Homo sapiens solute carrier family 25, member 30 (SLC25A30), mRNA",SLC25A30,B3KTE8
308,NP_689920,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P16260,GDC_HUMAN,Solute carrier family 25 member 16 (Graves disease autoantigen) (GDA) (Graves disease carrier protein) (GDC) (Mitochondrial solute carrier protein homolog),SLC25A16,P16260
309,NP_775742,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q70HW3,SAMC_HUMAN,Mitochondrial S-adenosylmethionine carrier protein (SAM carrier) (Solute carrier family 25 member 26),SLC25A26,Q70HW3
310,NP_775908,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8N5S1,S2541_HUMAN,Mitochondrial carrier protein SCaMC-3L (Mitochondrial ATP-Mg/Pi carrier protein SLC25A41) (Small calcium-binding mitochondrial carrier protein 3-like) (SCaMC-3-like) (SCaMC-3L) (Solute carrier family 25 member 41),SLC25A41,Q8N5S1
311,NP_001627,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P12236,ADT3_HUMAN,"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2) (ANT 2) (Adenine nucleotide translocator 3) (ANT 3) (Solute carrier family 25 member 6) [Cleaved into: ADP/ATP translocase 3, N-terminally processed]",SLC25A6,P12236
312,NP_001627,ADP:ATP translocase,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6I9V5,Q6I9V5_HUMAN,"ADP/ATP translocase (ADP,ATP carrier protein)",SLC25A6,Q6I9V5
313,NP_660325,carnitine/acylcarnitine,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6ZT89,S2548_HUMAN,Solute carrier family 25 member 48,SLC25A48,Q6ZT89
314,NP_848621,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q86VD7,S2542_HUMAN,Mitochondrial coenzyme A transporter SLC25A42 (Solute carrier family 25 member 42),SLC25A42,Q86VD7
315,NP_848621,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024R7K2,A0A024R7K2_HUMAN,Solute carrier family 25 member 42,SLC25A42,A0A024R7K2
316,NP_848621,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8NHH2,Q8NHH2_HUMAN,Uncharacterized protein,SLC25A42,Q8NHH2
317,NP_443133,magnesium ion:inorganic phosphate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6KCM7,SCMC2_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A25 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Short calcium-binding mitochondrial carrier protein 2) (SCaMC-2) (Solute carrier family 25 member 25),SLC25A25,Q6KCM7
318,NP_001006643,magnesium ion:inorganic phosphate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6KCM7,SCMC2_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A25 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Short calcium-binding mitochondrial carrier protein 2) (SCaMC-2) (Solute carrier family 25 member 25),SLC25A25,Q6KCM7
319,NP_001006642,magnesium ion:inorganic phosphate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6KCM7,SCMC2_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A25 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Short calcium-binding mitochondrial carrier protein 2) (SCaMC-2) (Solute carrier family 25 member 25),SLC25A25,Q6KCM7
320,NP_001012773,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q5H9E4,S2553_HUMAN,Solute carrier family 25 member 53 (Mitochondrial carrier triple repeat protein 6),SLC25A53,Q5H9E4
321,NP_001070709,carnitine/acylcarnitine?,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8N413,S2545_HUMAN,Solute carrier family 25 member 45,SLC25A45,Q8N413
322,NP_872362,carnitine/acylcarnitine?,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q8N413,S2545_HUMAN,Solute carrier family 25 member 45,SLC25A45,Q8N413
323,NP_001070709,carnitine/acylcarnitine?,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,B3KR90,B3KR90_HUMAN,"cDNA FLJ33871 fis, clone CTONG2006836, weakly similar to MITOCHONDRIAL CARNITINE/ACYLCARNITINE CARRIER PROTEIN",SLC25A45,B3KR90
324,NP_998816,magnesium ion:inorganic phosphate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6NUK1,SCMC1_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A24 (Mitochondrial ATP-Mg/Pi carrier protein 1) (Mitochondrial Ca(2+)-dependent solute carrier protein 1) (Short calcium-binding mitochondrial carrier protein 1) (SCaMC-1) (Solute carrier family 25 member 24),SLC25A24,Q6NUK1
325,NP_037518,magnesium ion:inorganic phosphate antiporter,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6NUK1,SCMC1_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A24 (Mitochondrial ATP-Mg/Pi carrier protein 1) (Mitochondrial Ca(2+)-dependent solute carrier protein 1) (Short calcium-binding mitochondrial carrier protein 1) (SCaMC-1) (Solute carrier family 25 member 24),SLC25A24,Q6NUK1
326,NP_055156,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9NZJ7,MTCH1_HUMAN,Mitochondrial carrier homolog 1 (Presenilin-associated protein),MTCH1,Q9NZJ7
327,NP_055156,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024RD08,A0A024RD08_HUMAN,"Mitochondrial carrier homolog 1 (C. elegans), isoform CRA_d",MTCH1,A0A024RD08
328,NP_055157,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q9Y6C9,MTCH2_HUMAN,Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein),MTCH2,Q9Y6C9
329,NP_055470,aspartate:glutamate antiporter(Ca2+-activated)?,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q96H78,S2544_HUMAN,Solute carrier family 25 member 44,SLC25A44,Q96H78
330,NP_003347,uncoupling protein 3,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P55916,UCP3_HUMAN,Putative mitochondrial transporter UCP3 (Solute carrier family 25 member 9) (Uncoupling protein-3) (UCP 3),UCP3,P55916
331,NP_073714,uncoupling protein 3,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,P55916,UCP3_HUMAN,Putative mitochondrial transporter UCP3 (Solute carrier family 25 member 9) (Uncoupling protein-3) (UCP 3),UCP3,P55916
332,NP_003347,uncoupling protein 3,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A0S2Z4G5,A0A0S2Z4G5_HUMAN,"Uncoupling protein 3 (Mitochondrial, proton carrier), isoform CRA_a (Uncoupling protein 3 isoform 2)",UCP3,A0A0S2Z4G5
333,NP_620128,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q96AG3,S2546_HUMAN,Mitochondrial outer membrane protein SLC25A46 (Solute carrier family 25 member 46),SLC25A46,Q96AG3
334,NP_958928,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q3KQZ1,S2535_HUMAN,Solute carrier family 25 member 35,SLC25A35,Q3KQZ1
335,NP_997000,tricarboxylate?,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6Q0C1,S2547_HUMAN,Solute carrier family 25 member 47 (Hepatocellular carcinoma down-regulated mitochondrial carrier protein),SLC25A47,Q6Q0C1
336,NP_997000,tricarboxylate?,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,A0A024R6H7,A0A024R6H7_HUMAN,"Chromosome 14 open reading frame 68, isoform CRA_b",SLC25A47,A0A024R6H7
337,NP_997231,Unclassified,,MC,The Mitochondrial Carrier (MC) Family,Secondary Transporter,2.A.29,Q6PIV7,S2534_HUMAN,Solute carrier family 25 member 34,SLC25A34,Q6PIV7
338,NP_006753,lysosomal transporter protein homolog,,MET,The 4 TMS Multidrug Endosomal Transporter (MET) Family,Secondary Transporter,2.A.74,Q13571,LAPM5_HUMAN,Lysosomal-associated transmembrane protein 5 (Lysosomal-associated multitransmembrane protein 5) (Retinoic acid-inducible E3 protein),LAPTM5,Q13571
339,NP_006753,lysosomal transporter protein homolog,,MET,The 4 TMS Multidrug Endosomal Transporter (MET) Family,Secondary Transporter,2.A.74,Q5TBB8,Q5TBB8_HUMAN,"Lysosomal associated multispanning membrane protein 5, isoform CRA_a (Lysosomal multispanning membrane protein 5) (cDNA FLJ75768, highly similar to Homo sapiens lysosomal associated multispanning membrane protein 5 (LAPTM5), mRNA)",LAPTM5,Q5TBB8
340,NP_055528,lysosomal transporter protein homolog,,MET,The 4 TMS Multidrug Endosomal Transporter (MET) Family,Secondary Transporter,2.A.74,Q15012,LAP4A_HUMAN,Lysosomal-associated transmembrane protein 4A (Golgi 4-transmembrane-spanning transporter MTP),LAPTM4A,Q15012
341,NP_055528,lysosomal transporter protein homolog,,MET,The 4 TMS Multidrug Endosomal Transporter (MET) Family,Secondary Transporter,2.A.74,Q6IBP4,Q6IBP4_HUMAN,"LAPTM4A protein (Lysosomal protein transmembrane 4 alpha) (Lysosomal-associated protein transmembrane 4 alpha, isoform CRA_b)",LAPTM4A,Q6IBP4
342,NP_060877,lysosomal transporter protein homolog,,MET,The 4 TMS Multidrug Endosomal Transporter (MET) Family,Secondary Transporter,2.A.74,Q86VI4,LAP4B_HUMAN,Lysosomal-associated transmembrane protein 4B (Lysosome-associated transmembrane protein 4-beta),LAPTM4B,Q86VI4
343,NP_001458,glucose-6-phosphate,,MFS,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,O43826,G6PT1_HUMAN,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),SLC37A4,O43826
344,NP_001458,glucose-6-phosphate,,MFS,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,A0A024R3H9,A0A024R3H9_HUMAN,"Solute carrier family 37 (Glycerol-6-phosphate transporter), member 4, isoform CRA_a",SLC37A4,A0A024R3H9
345,NP_003044,vesicular monoamine,,MFS,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,P54219,VMAT1_HUMAN,Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1),SLC18A1,P54219
